Color@Name@Count@Distance@Distribution
#00703c @Excellent@1494@19964@33.21
#00a032 @Very Good@1045@14008@23.23
#00d228 @Good@811@10863@18.03
#ffff00 @Fair@608@7982@13.52
#ffaa00 @Poor@356@4832@7.91
#fa6400 @Very Poor@156@1985@3.47
#ff0000 @Bad@21@297@0.47
#dc143c @Very Bad@7@103@0.16
#820000 @Awful@0@0@0.00
#aaaaaa @No Coverage@0@0@0.00
#000000 @Null@0@0@0.00
#ffffff @Total@4498 [#]@60034 [m]@100.00 [%]
