Color@Name@Count@Distance@Distribution
#00ffff @2G@0@0@0.00
#ff00e6 @3G@0@0@0.00
#0008ff @4G@4497@60034@99.98
#32cd32 @5G@0@0@0.00
#000000 @Null@1@0@0.02
#ffffff @Total@4498 [#]@60034 [m]@100.00 [%]
