Color@Name@Count@Distance@Distribution
#00703c @Excellent@0@0@0.00
#00a032 @Very Good@5@73@0.11
#00d228 @Good@13@199@0.29
#ffff00 @Fair@42@577@0.93
#ffaa00 @Poor@68@884@1.51
#fa6400 @Bad@184@2449@4.09
#dc143c @Very Bad@427@5614@9.49
#820000 @Awful@720@9528@16.01
#aaaaaa @No Coverage@3036@40676@67.50
#000000 @Null@3@34@0.07
#ffffff @Total@4498 [#]@60034 [m]@100.00 [%]
