Color@Name@Count@Distance@Distribution
#aaaaaa @No Coverage@0@0@0.00
#820000 @Awful@18@231@0.40
#dc143c @Very Bad@99@1328@2.20
#ff0000 @Bad@15@218@0.33
#fa6400 @Very Poor@9@118@0.20
#ffaa00 @Poor@49@674@1.09
#ffff00 @Fair@106@1415@2.36
#00d228 @Good@833@11124@18.52
#00a032 @Very Good@1993@26425@44.31
#00703c @Excellent@1308@17593@29.08
#1e90ff @Unsuccess@15@193@0.33
#000000 @Null@53@715@1.18
#ffffff @Total@4498 [#]@60034 [m]@100.00 [%]
