Timestamp,NodeId,Latitude,Longitude,Tech,ARFCN,Code,PLMNId,LAC,CellId,Sig Tech,Sig Pow,Sig Qual,Color Value,Color Name
2022-05-27 19:02:11,2386,35.19163,51.01075,4G,1423,316,43211,42221,23387397,4G,-73.2,-7.3,1423,1423
2022-05-27 19:02:14,2386,35.19193,51.01161,4G,1423,316,43211,42221,23387397,4G,-70.3,-7,1423,1423
2022-05-27 19:02:17,2386,35.19222,51.01249,4G,1423,316,43211,42221,23387397,4G,-73.5,-5.8,1423,1423
2022-05-27 19:02:20,2386,35.1925,51.01339,4G,1423,316,43211,42221,23387397,4G,-65.3,-6.8,1423,1423
2022-05-27 19:02:23,2386,35.19278,51.01432,4G,1423,316,43211,42221,23387397,4G,-64.8,-6.3,1423,1423
2022-05-27 19:02:26,2386,35.19305,51.01528,4G,1423,316,43211,42221,23387397,4G,-72,-7.3,1423,1423
2022-05-27 19:02:29,2386,35.19332,51.01627,4G,1423,315,43211,42221,23387396,4G,-75.5,-7,1423,1423
2022-05-27 19:02:32,2386,35.19356,51.01729,4G,1423,315,43211,42221,23387396,4G,-79.8,-8.3,1423,1423
2022-05-27 19:02:35,2386,35.19378,51.01832,4G,1423,315,43211,42221,23387396,4G,-64.7,-8.3,1423,1423
2022-05-27 19:02:38,2386,35.194,51.01932,4G,1423,315,43211,42221,23387396,4G,-62,-9,1423,1423
2022-05-27 19:02:41,2386,35.1942,51.0203,4G,1423,315,43211,42221,23387396,4G,-66.5,-7,1423,1423
2022-05-27 19:02:44,2386,35.19438,51.02131,4G,1423,315,43211,42221,23387396,4G,-72.5,-6.8,1423,1423
2022-05-27 19:02:47,2386,35.19454,51.02233,4G,1423,315,43211,42221,23387396,4G,-72.8,-6.5,1423,1423
2022-05-27 19:02:50,2386,35.19468,51.02335,4G,1423,315,43211,42221,23387396,4G,-72.8,-5.8,1423,1423
2022-05-27 19:02:53,2386,35.19483,51.02439,4G,1423,315,43211,42221,23387396,4G,-74.3,-7.3,1423,1423
2022-05-27 19:02:56,2386,35.19495,51.02546,4G,1423,315,43211,42221,23387396,4G,-77.7,-7,1423,1423
2022-05-27 19:02:59,2386,35.19505,51.02655,4G,1423,315,43211,42221,23387396,4G,-79,-6.7,1423,1423
2022-05-27 19:03:02,2386,35.19514,51.02764,4G,1423,315,43211,42221,23387396,4G,-79.3,-7.3,1423,1423
2022-05-27 19:03:05,2386,35.19521,51.0287,4G,1423,315,43211,42221,23387396,4G,-82.2,-7.3,1423,1423
2022-05-27 19:03:08,2386,35.19526,51.02974,4G,1423,315,43211,42221,23387396,4G,-83.8,-7.5,1423,1423
2022-05-27 19:03:11,2386,35.19532,51.03074,4G,1423,315,43211,42221,23387396,4G,-86.8,-8.5,1423,1423
2022-05-27 19:03:14,2386,35.19536,51.03174,4G,1423,315,43211,42221,23387396,4G,-89.7,-9,1423,1423
2022-05-27 19:03:17,2386,35.19542,51.03281,4G,1423,315,43211,42221,23387396,4G,-90.3,-8.5,1423,1423
2022-05-27 19:03:20,2386,35.19549,51.03393,4G,1423,315,43211,42221,23387396,4G,-91.8,-10.8,1423,1423
2022-05-27 19:03:23,2386,35.19557,51.03506,4G,1423,315,43211,42221,23387396,4G,-92.3,-9.3,1423,1423
2022-05-27 19:03:26,2386,35.19563,51.03623,4G,1423,315,43211,42221,23387396,4G,-92.5,-8.8,1423,1423
2022-05-27 19:03:29,2386,35.1957,51.0374,4G,1423,315,43211,42221,23387396,4G,-93,-9,1423,1423
2022-05-27 19:03:32,2386,35.19578,51.03855,4G,1423,315,43211,42221,23387396,4G,-94.8,-9,1423,1423
2022-05-27 19:03:35,2386,35.19586,51.0397,4G,1423,315,43211,42221,23387396,4G,-91,-8.5,1423,1423
2022-05-27 19:03:38,2386,35.19598,51.04082,4G,1423,315,43211,42221,23387396,4G,-93.5,-8.5,1423,1423
2022-05-27 19:03:41,2386,35.19611,51.04195,4G,1423,315,43211,42221,23387396,4G,-96,-8.8,1423,1423
2022-05-27 19:03:44,2386,35.19626,51.04308,4G,1423,315,43211,42221,23387396,4G,-96.5,-8.3,1423,1423
2022-05-27 19:03:47,2386,35.19644,51.0442,4G,1423,315,43211,42221,23387396,4G,-95,-7.3,1423,1423
2022-05-27 19:03:50,2386,35.19662,51.04532,4G,1423,315,43211,42221,23387396,4G,-91.3,-7.3,1423,1423
2022-05-27 19:03:53,2386,35.19682,51.04642,4G,1423,315,43211,42221,23387396,4G,-89.8,-8.8,1423,1423
2022-05-27 19:03:56,2386,35.19703,51.04746,4G,1423,315,43211,42221,23387396,4G,-90.5,-9.8,1423,1423
2022-05-27 19:03:59,2386,35.19725,51.04842,4G,1423,315,43211,42221,23387396,4G,-95.5,-8.5,1423,1423
2022-05-27 19:04:02,2386,35.19747,51.04935,4G,1423,315,43211,42221,23387396,4G,-100.5,-10.5,1423,1423
2022-05-27 19:04:05,2386,35.1977,51.05026,4G,1423,381,43211,42221,23450885,4G,-103,-12.7,1423,1423
